Pfam_ID	Description
PF00179	Ubiquitin-conjugating enzyme
PF00180	Isocitrate/isopropylmalate dehydrogenase
PF00183	Hsp90 protein
PF00185	Aspartate/ornithine carbamoyltransferase, Asp/Orn binding domain
PF00186	Dihydrofolate reductase
PF00188	Cysteine-rich secretory protein family
PF00191	Annexin
PF00193	Extracellular link domain
PF00196	Bacterial regulatory proteins, luxR family
PF00198	2-oxoacid dehydrogenases acyltransferase (catalytic domain)
PF00199	Catalase
PF00200	Disintegrin
PF00202	Aminotransferase class-III
PF00204	DNA gyrase B
PF00205	Thiamine pyrophosphate enzyme, central domain
PF00206	Lyase
PF00207	Alpha-2-macroglobulin family
PF00208	Glutamate/Leucine/Phenylalanine/Valine dehydrogenase
PF00210	Ferritin-like domain
PF00211	Adenylate and Guanylate cyclase catalytic domain
PF00215	Orotidine 5'-phosphate decarboxylase / HUMPS family
PF00218	Indole-3-glycerol phosphate synthase
PF00219	Insulin-like growth factor binding protein
PF00221	Aromatic amino acid lyase
PF00224	Pyruvate kinase, barrel domain
PF00225	Kinesin motor domain
PF00226	DnaJ domain
PF00227	Proteasome subunit
PF00229	TNF(Tumour Necrosis Factor) family
PF00230	Major intrinsic protein
PF00232	Glycosyl hydrolase family 1
PF00233	3'5'-cyclic nucleotide phosphodiesterase
PF00235	Profilin
PF00240	Ubiquitin family
PF00241	Cofilin/tropomyosin-type actin-binding protein
PF00244	14-3-3 protein
PF00245	Alkaline phosphatase
PF00246	Zinc carboxypeptidase
PF00248	Aldo/keto reductase family
PF00249	Myb-like DNA-binding domain
PF00250	Forkhead domain
PF00251	Glycosyl hydrolases family 32 N-terminal domain
PF00254	FKBP-type peptidyl-prolyl cis-trans isomerase
PF00255	Glutathione peroxidase
PF00258	Flavodoxin
PF00262	Calreticulin family
PF00263	Bacterial type II and III secretion system protein
PF00265	Thymidine kinase
PF00266	Aminotransferase class-V
PF00267	Gram-negative porin
PF00268	Ribonucleotide reductase, small chain
PF00269	Small, acid-soluble spore proteins, alpha/beta type
PF00270	DEAD/DEAH box helicase
PF00271	Helicase conserved C-terminal domain
PF00274	Fructose-bisphosphate aldolase class-I
PF00275	EPSP synthase (3-phosphoshikimate 1-carboxyvinyltransferase)
PF00278	Pyridoxal-dependent decarboxylase, C-terminal sheet domain
PF00282	Pyridoxal-dependent decarboxylase conserved domain
PF00285	Citrate synthase, C-terminal domain
PF00288	GHMP kinases N terminal domain
PF00289	Biotin carboxylase, N-terminal domain
PF00290	Tryptophan synthase alpha chain
PF00291	Pyridoxal-phosphate dependent enzyme
PF00292	'Paired box' domain
PF00293	NUDIX domain
PF00294	pfkB family carbohydrate kinase
PF00296	Luciferase-like monooxygenase
PF00300	Histidine phosphatase superfamily (branch 1)
PF00303	Thymidylate synthase
PF00305	Lipoxygenase
PF00307	Calponin homology (CH) domain
PF00308	Bacterial dnaA protein
PF00309	Sigma-54 factor, Activator interacting domain (AID)
PF00310	Glutamine amidotransferases class-II
PF00311	Phosphoenolpyruvate carboxylase
PF00313	'Cold-shock' DNA-binding domain
PF00316	Fructose-1-6-bisphosphatase, N-terminal domain
PF00317	Ribonucleotide reductase, all-alpha domain
PF00319	SRF-type transcription factor (DNA-binding and dimerisation domain)
PF00320	GATA zinc finger
PF00323	Mammalian defensin
PF00324	Amino acid permease
PF00326	Prolyl oligopeptidase family
PF00328	Histidine phosphatase superfamily (branch 2)
PF00330	Aconitase family (aconitate hydratase)
PF00334	Nucleoside diphosphate kinase
PF00335	Tetraspanin family
PF00337	Galactoside-binding lectin
PF00339	Arrestin (or S-antigen), N-terminal domain
PF00341	PDGF/VEGF domain
PF00342	Phosphoglucose isomerase
PF00343	Carbohydrate phosphorylase
PF00344	SecY translocase
PF00345	Pili and flagellar-assembly chaperone, PapD N-terminal domain
PF00348	Polyprenyl synthetase
PF00350	Dynamin family
PF00351	Biopterin-dependent aromatic amino acid hydroxylase
PF00354	Pentaxin family
PF00356	Bacterial regulatory proteins, lacI family
PF00357	Integrin alpha cytoplasmic region
PF00358	phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 1
PF00359	Phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 2
PF00362	Integrin beta chain VWA domain
PF00364	Biotin-requiring enzyme
PF00367	phosphotransferase system, EIIB
PF00370	FGGY family of carbohydrate kinases, N-terminal domain
PF00373	FERM central domain
PF00375	Sodium:dicarboxylate symporter family
PF00376	MerR family regulatory protein
PF00378	Enoyl-CoA hydratase/isomerase
PF00381	PTS HPr component phosphorylation site
PF00382	Transcription factor TFIIB repeat
PF00383	Cytidine and deoxycytidylate deaminase zinc-binding region
PF00384	Molybdopterin oxidoreductase
PF00385	Chromo (CHRromatin Organisation MOdifier) domain
PF00386	C1q domain
PF00387	Phosphatidylinositol-specific phospholipase C, Y domain
PF00388	Phosphatidylinositol-specific phospholipase C, X domain
PF00389	D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain
PF00390	Malic enzyme, N-terminal domain
PF00391	PEP-utilising enzyme, mobile domain
PF00392	Bacterial regulatory proteins, gntR family
PF00393	6-phosphogluconate dehydrogenase, C-terminal domain
PF00394	Multicopper oxidase
PF00395	S-layer homology domain
PF00396	Granulin
PF00397	WW domain
PF00400	WD domain, G-beta repeat
PF00402	Calponin family repeat
PF00403	Heavy-metal-associated domain
PF00405	Transferrin
PF00406	Adenylate kinase
PF00408	Phosphoglucomutase/phosphomannomutase, C-terminal domain
PF00412	LIM domain
PF00413	Matrixin
PF00415	Regulator of chromosome condensation (RCC1) repeat
PF00418	Tau and MAP protein, tubulin-binding repeat
PF00419	Fimbrial protein
PF00425	chorismate binding enzyme
PF00431	CUB domain
PF00433	Protein kinase C terminal domain
PF00435	Spectrin repeat
PF00436	Single-strand binding protein family
PF00437	Type II/IV secretion system protein
PF00438	S-adenosylmethionine synthetase, N-terminal domain
PF00439	Bromodomain
PF00440	Bacterial regulatory proteins, tetR family
PF00441	Acyl-CoA dehydrogenase, C-terminal domain
PF00443	Ubiquitin carboxyl-terminal hydrolase
PF00445	Ribonuclease T2 family
PF00447	HSF-type DNA-binding
PF00448	SRP54-type protein, GTPase domain
PF00449	Urease alpha-subunit, N-terminal domain
PF00450	Serine carboxypeptidase
PF00452	Apoptosis regulator proteins, Bcl-2 family
PF00454	Phosphatidylinositol 3- and 4-kinase
PF00455	DeoR C terminal sensor domain
PF00456	Transketolase, thiamine diphosphate binding domain
PF00458	WHEP-TRS domain
PF00459	Inositol monophosphatase family
PF00460	Flagella basal body rod protein
PF00462	Glutaredoxin
PF00464	Serine hydroxymethyltransferase
PF00465	Iron-containing alcohol dehydrogenase
PF00467	KOW motif
PF00472	RF-1 domain
PF00474	Sodium:solute symporter family
PF00476	DNA polymerase family A
PF00478	IMP dehydrogenase / GMP reductase domain
PF00479	Glucose-6-phosphate dehydrogenase, NAD binding domain
PF00480	ROK family
PF00481	Protein phosphatase 2C
PF00482	Type II secretion system (T2SS), protein F
PF00483	Nucleotidyl transferase
PF00485	Phosphoribulokinase / Uridine kinase family
PF00486	Transcriptional regulatory protein, C terminal
PF00488	MutS domain V
PF00490	Delta-aminolevulinic acid dehydratase
PF00491	Arginase family
PF00493	MCM P-loop domain
PF00496	Bacterial extracellular solute-binding proteins, family 5 Middle
PF00497	Bacterial extracellular solute-binding proteins, family 3
PF00498	FHA domain
PF00501	AMP-binding enzyme
PF00503	G-protein alpha subunit
PF00505	HMG (high mobility group) box
PF00512	His Kinase A (phospho-acceptor) domain
PF00514	Armadillo/beta-catenin-like repeat
PF00515	Tetratricopeptide repeat
PF00520	Ion transport protein
PF00521	DNA gyrase/topoisomerase IV, subunit A
PF00525	Alpha crystallin A chain, N terminal
PF00528	Binding-protein-dependent transport system inner membrane component
PF00529	HlyD membrane-fusion protein of T1SS
PF00530	Scavenger receptor cysteine-rich domain
PF00531	Death domain
PF00532	Periplasmic binding proteins and sugar binding domain of LacI family
PF00533	BRCA1 C Terminus (BRCT) domain
PF00534	Glycosyl transferases group 1
PF00535	Glycosyl transferase family 2
PF00536	SAM domain (Sterile alpha motif)
PF00538	linker histone H1 and H5 family
PF00549	CoA-ligase
PF00550	Phosphopantetheine attachment site
PF00551	Formyl transferase
PF00553	Cellulose binding domain
PF00554	Rel homology DNA-binding domain
PF00557	Metallopeptidase family M24
PF00560	Leucine Rich Repeat
PF00561	alpha/beta hydrolase fold
PF00562	RNA polymerase Rpb2, domain 6
PF00563	EAL domain
PF00564	PB1 domain
PF00565	Staphylococcal nuclease homologue
PF00566	Rab-GTPase-TBC domain
PF00567	Tudor domain
PF00568	WH1 domain
PF00569	Zinc finger, ZZ type
PF00570	HRDC domain
PF00571	CBS domain
PF00574	Clp protease
PF00575	S1 RNA binding domain
PF00577	Outer membrane usher protein
PF00578	AhpC/TSA family
PF00579	tRNA synthetases class I (W and Y)
PF00580	UvrD/REP helicase N-terminal domain
PF00581	Rhodanese-like domain
PF00582	Universal stress protein family
PF00583	Acetyltransferase (GNAT) family
PF00585	C-terminal regulatory domain of Threonine dehydratase
PF00586	AIR synthase related protein, N-terminal domain
PF00587	tRNA synthetase class II core domain (G, H, P, S and T)
PF00588	SpoU rRNA Methylase family
PF00589	Phage integrase family
PF00590	Tetrapyrrole (Corrin/Porphyrin) Methylases
PF00591	Glycosyl transferase family, a/b domain
PF00593	TonB dependent receptor
PF00594	Vitamin K-dependent carboxylation/gamma-carboxyglutamic (GLA) domain
PF00595	PDZ domain
PF00596	Class II Aldolase and Adducin N-terminal domain
PF00605	Interferon regulatory factor transcription factor
PF00609	Diacylglycerol kinase accessory domain
PF00610	Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)
PF00611	Fes/CIP4, and EFC/F-BAR homology domain
PF00612	IQ calmodulin-binding motif
PF00613	Phosphoinositide 3-kinase family, accessory domain (PIK domain)
PF00614	Phospholipase D Active site motif
PF00615	Regulator of G protein signaling domain
PF00616	GTPase-activator protein for Ras-like GTPase
PF00617	RasGEF domain
PF00618	RasGEF N-terminal motif
PF00619	Caspase recruitment domain
PF00620	RhoGAP domain
PF00621	RhoGEF domain
PF00622	SPRY domain
PF00623	RNA polymerase Rpb1, domain 2
PF00625	Guanylate kinase
PF00626	Gelsolin repeat
PF00627	UBA/TS-N domain
PF00628	PHD-finger
PF00629	MAM domain, meprin/A5/mu
PF00630	Filamin/ABP280 repeat
PF00632	HECT-domain (ubiquitin-transferase)
PF00633	Helix-hairpin-helix motif
PF00635	MSP (Major sperm protein) domain
PF00637	Region in Clathrin and VPS
PF00638	RanBP1 domain
PF00639	PPIC-type PPIASE domain
PF00640	Phosphotyrosine interaction domain (PTB/PID)
PF00641	Zn-finger in Ran binding protein and others
PF00642	Zinc finger C-x8-C-x5-C-x3-H type (and similar)
PF00643	B-box zinc finger
PF00644	Poly(ADP-ribose) polymerase catalytic domain
PF00645	Poly(ADP-ribose) polymerase and DNA-Ligase Zn-finger region
PF00646	F-box domain
PF00647	Elongation factor 1 gamma, conserved domain
PF00648	Calpain family cysteine protease
PF00650	CRAL/TRIO domain
PF00651	BTB/POZ domain
PF00652	Ricin-type beta-trefoil lectin domain
PF00653	Inhibitor of Apoptosis domain
PF00654	Voltage gated chloride channel
PF00656	Caspase domain
PF00658	Poly-adenylate binding protein, unique domain
PF00659	POLO box duplicated region
PF00664	ABC transporter transmembrane region
PF00665	Integrase core domain
PF00667	FAD binding domain
PF00668	Condensation domain
PF00669	Bacterial flagellin N-terminal helical region
PF00670	S-adenosyl-L-homocysteine hydrolase, NAD binding domain
PF00672	HAMP domain
PF00675	Insulinase (Peptidase family M16)
PF00676	Dehydrogenase E1 component
PF00679	Elongation factor G C-terminus
PF00681	Plectin repeat
PF00682	HMGL-like
PF00683	TB domain
PF00685	Sulfotransferase domain
PF00687	Ribosomal protein L1p/L10e family
PF00688	TGF-beta propeptide
PF00689	Cation transporting ATPase, C-terminus
PF00690	Cation transporter/ATPase, N-terminus
PF00691	OmpA family
PF00692	dUTPase
PF00694	Aconitase C-terminal domain
PF00696	Amino acid kinase family
PF00697	N-(5'phosphoribosyl)anthranilate (PRA) isomerase
PF00698	Acyl transferase domain
PF00700	Bacterial flagellin C-terminal helical region
PF00702	haloacid dehalogenase-like hydrolase
PF00703	Glycosyl hydrolases family 2
PF00704	Glycosyl hydrolases family 18
PF00707	Translation initiation factor IF-3, C-terminal domain
PF00708	Acylphosphatase
PF00709	Adenylosuccinate synthetase
PF00717	Peptidase S24-like
PF00723	Glycosyl hydrolases family 15
PF00724	NADH:flavin oxidoreductase / NADH oxidase family
PF00725	3-hydroxyacyl-CoA dehydrogenase, C-terminal domain
PF00730	HhH-GPD superfamily base excision DNA repair protein
PF00731	AIR carboxylase
PF00733	Asparagine synthase
PF00735	Septin
PF00736	EF-1 guanine nucleotide exchange domain
PF00742	Homoserine dehydrogenase
PF00743	Flavin-binding monooxygenase-like
PF00745	Glutamyl-tRNAGlu reductase, dimerisation domain
PF00746	LPXTG cell wall anchor motif
PF00749	tRNA synthetases class I (E and Q), catalytic domain
PF00750	tRNA synthetases class I (R)
PF00753	Metallo-beta-lactamase superfamily
PF00754	F5/8 type C domain
PF00755	Choline/Carnitine o-acyltransferase
PF00756	Putative esterase
PF00757	Furin-like cysteine rich region
PF00762	Ferrochelatase
PF00763	Tetrahydrofolate dehydrogenase/cyclohydrolase, catalytic domain
PF00764	Arginosuccinate synthase
PF00766	Electron transfer flavoprotein FAD-binding domain
PF00768	D-alanyl-D-alanine carboxypeptidase
PF00769	Ezrin/radixin/moesin family
PF00771	FHIPEP family
PF00772	DnaB-like helicase N terminal domain
PF00773	RNB domain
PF00777	Glycosyltransferase family 29 (sialyltransferase)
PF00778	DIX domain
PF00780	CNH domain
PF00781	Diacylglycerol kinase catalytic domain
PF00782	Dual specificity phosphatase, catalytic domain
PF00784	MyTH4 domain
PF00786	P21-Rho-binding domain
PF00787	PX domain
PF00788	Ras association (RalGDS/AF-6) domain
PF00789	UBX domain
PF00790	VHS domain
PF00791	ZU5 domain
PF00792	Phosphoinositide 3-kinase C2
PF00793	DAHP synthetase I family
PF00794	PI3-kinase family, ras-binding domain
PF00795	Carbon-nitrogen hydrolase
PF00797	N-acetyltransferase
PF00801	PKD domain
PF00804	Syntaxin
PF00805	Pentapeptide repeats (8 copies)
PF00806	Pumilio-family RNA binding repeat
PF00808	Histone-like transcription factor (CBF/NF-Y) and archaeal histone
PF00809	Pterin binding enzyme
PF00813	FliP family
PF00814	Glycoprotease family
PF00815	Histidinol dehydrogenase
PF00816	H-NS histone family
PF00817	impB/mucB/samB family
PF00821	Phosphoenolpyruvate carboxykinase C-terminal P-loop domain
PF00822	PMP-22/EMP/MP20/Claudin family
PF00834	Ribulose-phosphate 3 epimerase family
PF00836	Stathmin family
PF00838	Translationally controlled tumour protein
PF00839	Cysteine rich repeat
PF00842	Alanine racemase, C-terminal domain
PF00849	RNA pseudouridylate synthase
PF00850	Histone deacetylase domain
PF00853	Runt domain
PF00854	POT family
PF00855	PWWP domain
PF00856	SET domain
PF00857	Isochorismatase family
PF00860	Permease family
PF00864	ATP P2X receptor
PF00870	P53 DNA-binding domain
PF00871	Acetokinase family
PF00872	Transposase, Mutator family
PF00873	AcrB/AcrD/AcrF family
PF00874	PRD domain
PF00877	NlpC/P60 family
PF00878	Cation-independent mannose-6-phosphate receptor repeat
PF00879	Defensin propeptide
PF00881	Nitroreductase family
PF00883	Cytosol aminopeptidase family, catalytic domain
PF00884	Sulfatase
PF00887	Acyl CoA binding protein
PF00888	Cullin family
PF00889	Elongation factor TS
PF00890	FAD binding domain
PF00892	EamA-like transporter family
PF00893	Small Multidrug Resistance protein
PF00899	ThiF family
PF00903	Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily
PF00905	Penicillin binding protein transpeptidase domain
PF00907	T-box
PF00910	RNA helicase
PF00912	Transglycosylase
PF00916	Sulfate permease family
PF00917	MATH domain
PF00919	Uncharacterized protein family UPF0004
PF00920	Dehydratase family
PF00923	Transaldolase/Fructose-6-phosphate aldolase
PF00924	Mechanosensitive ion channel
PF00925	GTP cyclohydrolase II
PF00926	3,4-dihydroxy-2-butanone 4-phosphate synthase
PF00928	Adaptor complexes medium subunit family
PF00929	Exonuclease
PF00930	Dipeptidyl peptidase IV (DPP IV) N-terminal region
PF00932	Lamin Tail Domain
PF00933	Glycosyl hydrolase family 3 N terminal domain
PF00939	Sodium:sulfate symporter transmembrane region
PF00950	ABC 3 transport family
PF00953	Glycosyl transferase family 4
PF00955	HCO3- transporter family
PF00956	Nucleosome assembly protein (NAP)
PF00957	Synaptobrevin
PF00958	GMP synthase C terminal domain
PF00962	Adenosine/AMP deaminase
PF00969	Class II histocompatibility antigen, beta domain
PF00970	Oxidoreductase FAD-binding domain
PF00975	Thioesterase domain
PF00977	Histidine biosynthesis protein
PF00984	UDP-glucose/GDP-mannose dehydrogenase family, central domain
PF00986	DNA gyrase B subunit, carboxyl terminus
PF00988	Carbamoyl-phosphate synthase small chain, CPSase domain
PF00989	PAS fold
PF00990	Diguanylate cyclase, GGDEF domain
PF00993	Class II histocompatibility antigen, alpha domain
PF00994	Probable molybdopterin binding domain
PF00995	Sec1 family
PF00996	GDP dissociation inhibitor
PF00999	Sodium/hydrogen exchanger family
PF01000	RNA polymerase Rpb3/RpoA insert domain
PF01007	Inward rectifier potassium channel transmembrane domain
PF01008	Initiation factor 2 subunit family
PF01011	PQQ enzyme repeat
PF01012	Electron transfer flavoprotein domain
PF01017	STAT protein, all-alpha domain
PF01018	GTP1/OBG
PF01019	Gamma-glutamyltranspeptidase
PF01022	Bacterial regulatory protein, arsR family
PF01023	S-100/ICaBP type calcium binding domain
PF01025	GrpE
PF01026	TatD related DNase
PF01027	Inhibitor of apoptosis-promoting Bax1
PF01029	NusB family
PF01030	Receptor L domain
PF01031	Dynamin central region
PF01032	FecCD transport family
PF01033	Somatomedin B domain
PF01034	Syndecan domain
PF01035	6-O-methylguanine DNA methyltransferase, DNA binding domain
PF01037	Lrp/AsnC ligand binding domain
PF01039	Carboxyl transferase domain
PF01040	UbiA prenyltransferase family
PF01041	DegT/DnrJ/EryC1/StrS aminotransferase family
PF01042	Endoribonuclease L-PSP
PF01043	SecA preprotein cross-linking domain
PF01044	Vinculin family
PF01047	MarR family
PF01048	Phosphorylase superfamily
PF01049	Cadherin cytoplasmic region
PF01051	Initiator Replication protein
PF01052	Type III flagellar switch regulator (C-ring) FliN C-term
PF01053	Cys/Met metabolism PLP-dependent enzyme
PF01055	Glycosyl hydrolases family 31
PF01057	Parvovirus non-structural protein NS1
PF01061	ABC-2 type transporter
PF01063	Amino-transferase class IV
PF01064	Activin types I and II receptor domain
PF01066	CDP-alcohol phosphatidyltransferase
PF01067	Calpain large subunit, domain III
PF01068	ATP dependent DNA ligase domain
PF01070	FMN-dependent dehydrogenase
PF01071	Phosphoribosylglycinamide synthetase, ATP-grasp (A) domain
PF01073	3-beta hydroxysteroid dehydrogenase/isomerase family
PF01074	Glycosyl hydrolases family 38 N-terminal domain
PF01077	Nitrite and sulphite reductase 4Fe-4S domain
PF01078	Magnesium chelatase, subunit ChlI
PF01081	KDPG and KHG aldolase
PF01086	Clathrin light chain
PF01087	Galactose-1-phosphate uridyl transferase, N-terminal domain
PF01088	Ubiquitin carboxyl-terminal hydrolase, family 1
PF01091	PTN/MK heparin-binding protein family, C-terminal domain
PF01093	Clusterin
PF01095	Pectinesterase
PF01096	Transcription factor S-II (TFIIS)
PF01098	Cell cycle protein
PF01101	HMG14 and HMG17
PF01103	Surface antigen
PF01105	emp24/gp25L/p24 family/GOLD
PF01108	Tissue factor
PF01112	Asparaginase
PF01113	Dihydrodipicolinate reductase, N-terminus
PF01115	F-actin capping protein, beta subunit
PF01116	Fructose-bisphosphate aldolase class-II
PF01118	Semialdehyde dehydrogenase, NAD binding domain
PF01119	DNA mismatch repair protein, C-terminal domain
PF01122	Eukaryotic cobalamin-binding protein
PF01126	Heme oxygenase
PF01128	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
PF01130	CD36 family
PF01131	DNA topoisomerase
PF01132	Elongation factor P (EF-P) OB domain
PF01134	Glucose inhibited division protein A
PF01135	Protein-L-isoaspartate(D-aspartate) O-methyltransferase (PCMT)
PF01136	Peptidase family U32
PF01138	3' exoribonuclease family, domain 1
PF01142	tRNA pseudouridine synthase D (TruD)
PF01145	SPFH domain / Band 7 family
PF01146	Caveolin
PF01148	Cytidylyltransferase family
PF01150	GDA1/CD39 (nucleoside phosphatase) family
PF01154	Hydroxymethylglutaryl-coenzyme A synthase N terminal
PF01155	Hydrogenase/urease nickel incorporation, metallochaperone, hypA
PF01156	Inosine-uridine preferring nucleoside hydrolase
PF01166	TSC-22/dip/bun family
PF01168	Alanine racemase, N-terminal domain
PF01170	Putative RNA methylase family UPF0020
PF01171	PP-loop family
PF01172	Shwachman-Bodian-Diamond syndrome (SBDS) protein
PF01174	SNO glutamine amidotransferase family
PF01175	Urocanase Rossmann-like domain
PF01177	Asp/Glu/Hydantoin racemase
PF01180	Dihydroorotate dehydrogenase
PF01182	Glucosamine-6-phosphate isomerases/6-phosphogluconolactonase
PF01183	Glycosyl hydrolases family 25
PF01187	Macrophage migration inhibitory factor (MIF)
PF01189	16S rRNA methyltransferase RsmB/F
PF01193	RNA polymerase Rpb3/Rpb11 dimerisation domain
PF01201	Ribosomal protein S8e
PF01202	Shikimate kinase
PF01205	Uncharacterized protein family UPF0029
PF01207	Dihydrouridine synthase (Dus)
PF01208	Uroporphyrinogen decarboxylase (URO-D)
PF01209	ubiE/COQ5 methyltransferase family
PF01210	NAD-dependent glycerol-3-phosphate dehydrogenase N-terminus
PF01212	Beta-eliminating lyase
PF01213	Adenylate cyclase associated (CAP) N terminal
PF01214	Casein kinase II regulatory subunit
PF01216	Calsequestrin
PF01217	Clathrin adaptor complex small chain
PF01218	Coproporphyrinogen III oxidase
PF01222	Ergosterol biosynthesis ERG4/ERG24 family
PF01223	DNA/RNA non-specific endonuclease
PF01225	Mur ligase family, catalytic domain
PF01226	Formate/nitrite transporter
PF01228	Glycine radical
PF01230	HIT domain
PF01231	Indoleamine 2,3-dioxygenase
PF01232	Mannitol dehydrogenase Rossmann domain
