Entry	Query	Entry name	Organism	Organism ID	Length	Status
A0A384L6L5	Q7CL14	A0A384L6L5_YERPE	Yersinia pestis	632	442	unreviewed
A0A384KCH8	Q7CKV4	A0A384KCH8_YERPE	Yersinia pestis	632	249	unreviewed
A0A384KHA9	Q7CHF6	A0A384KHA9_YERPE	Yersinia pestis	632	216	unreviewed
A0A384KR77	Q7CGI3	A0A384KR77_YERPE	Yersinia pestis	632	297	unreviewed
A0A384KHC6	Q7CK73	A0A384KHC6_YERPE	Yersinia pestis	632	262	unreviewed
A0A384KCT2	Q7CKF8	A0A384KCT2_YERPE	Yersinia pestis	632	152	unreviewed
Q8CKQ9	Q8CKQ9	Q8CKQ9_YERPE	Yersinia pestis	632	496	unreviewed
A0A384L7N0	Q7CK70	A0A384L7N0_YERPE	Yersinia pestis	632	248	unreviewed
Q8D092	Q8D092	Q8D092_YERPE	Yersinia pestis	632	776	unreviewed
A0A384KX47	Q7CKP7	A0A384KX47_YERPE	Yersinia pestis	632	466	unreviewed
Q8CKW7	Q8CKW7	Q8CKW7_YERPE	Yersinia pestis	632	782	unreviewed
Q8D116	Q8D116	Q8D116_YERPE	Yersinia pestis	632	327	unreviewed
A0A0H2W5B4	Q7CIY0	A0A0H2W5B4_YERPE	Yersinia pestis	632	557	unreviewed
Q0WJ06	Q7CGH3	Q0WJ06_YERPE	Yersinia pestis	632	210	unreviewed
Q8D0K9	Q8D0K9	Q8D0K9_YERPE	Yersinia pestis	632	555	unreviewed
A0A384KYC4	Q7CKB8	A0A384KYC4_YERPE	Yersinia pestis	632	395	unreviewed
Q7CH75	Q7CH75	Q7CH75_YERPE	Yersinia pestis	632	571	unreviewed
A0A384LA61	Q7CL85	A0A384LA61_YERPE	Yersinia pestis	632	477	unreviewed
Q8CLQ8	Q8CLQ8	Q8CLQ8_YERPE	Yersinia pestis	632	285	unreviewed
A0A384KZU6	Q7CJK6	A0A384KZU6_YERPE	Yersinia pestis	632	342	unreviewed
A0A0H2W4I6	Q7CIW1	A0A0H2W4I6_YERPE	Yersinia pestis	632	455	unreviewed
A0A384L604	Q7CHW5	A0A384L604_YERPE	Yersinia pestis	632	460	unreviewed
A0A384KTC5	Q7CIH9	A0A384KTC5_YERPE	Yersinia pestis	632	128	unreviewed
A0A384LDE1	Q7CFV8	A0A384LDE1_YERPE	Yersinia pestis	632	686	unreviewed
A0A384L9C4	Q7CL39	A0A384L9C4_YERPE	Yersinia pestis	632	376	unreviewed
Q8CZS2	Q8CZS2	Q8CZS2_YERPE	Yersinia pestis	632	285	unreviewed
Q8D0X2	Q8D0X2	Q8D0X2_YERPE	Yersinia pestis	632	304	unreviewed
Q0WBH7	Q7CKH5	Q0WBH7_YERPE	Yersinia pestis	632	437	unreviewed
A0A384KST0	Q7CIP7	A0A384KST0_YERPE	Yersinia pestis	632	1177	unreviewed
A0A384KBR7	Q7CJI0	A0A384KBR7_YERPE	Yersinia pestis	632	167	unreviewed
A0A0H2W9C5	Q7CGW6	A0A0H2W9C5_YERPE	Yersinia pestis	632	495	unreviewed
A0A384KCV3	Q7CL16	A0A384KCV3_YERPE	Yersinia pestis	632	830	unreviewed
A0A384LFS9	Q7CGR9	A0A384LFS9_YERPE	Yersinia pestis	632	294	unreviewed
Q7CHI5	Q7CHI5	Q7CHI5_YERPE	Yersinia pestis	632	594	unreviewed
Q0WED4	Q7CIS3	Q0WED4_YERPE	Yersinia pestis	632	310	unreviewed
A0A384L3X9	Q7CII8	A0A384L3X9_YERPE	Yersinia pestis	632	317	unreviewed
Q8CLD0	Q8CLD0	Q8CLD0_YERPE	Yersinia pestis	632	183	unreviewed
A0A384LGX4	Q7CJQ0	A0A384LGX4_YERPE	Yersinia pestis	632	186	unreviewed
Q8D0R5	Q8D0R5	Q8D0R5_YERPE	Yersinia pestis	632	477	unreviewed
A0A384KVS9	Q7CL79	A0A384KVS9_YERPE	Yersinia pestis	632	136	unreviewed
Q0WAF2	Q7CKZ1	Q0WAF2_YERPE	Yersinia pestis	632	418	unreviewed
A0A384KJ78	Q7CJC6	A0A384KJ78_YERPE	Yersinia pestis	632	282	unreviewed
Q8CZN4	Q8CZN4	Q8CZN4_YERPE	Yersinia pestis	632	332	unreviewed
A0A384L498	Q7CKD3	A0A384L498_YERPE	Yersinia pestis	632	481	unreviewed
Q8D134	Q8D134	Q8D134_YERPE	Yersinia pestis	632	636	unreviewed
Q7CIB4	Q7CIB4	Q7CIB4_YERPE	Yersinia pestis	632	1576	unreviewed
A0A384LCC2	Q7CHR3	A0A384LCC2_YERPE	Yersinia pestis	632	618	unreviewed
Q0WEH3	Q7CIQ5	Q0WEH3_YERPE	Yersinia pestis	632	465	unreviewed
A0A384KQE8	Q7CGW5	A0A384KQE8_YERPE	Yersinia pestis	632	284	unreviewed
A0A384K9N9	Q7CFP7	A0A384K9N9_YERPE	Yersinia pestis	632	643	unreviewed
Q8CL89	Q8CL89	Q8CL89_YERPE	Yersinia pestis	632	243	unreviewed
Q8CWH9	Q8CWH9	Q8CWH9_YERPE	Yersinia pestis	632	478	unreviewed
Q7ARD3	Q7ARD3	Q7ARD3_YERPE	Yersinia pestis	632	71	unreviewed
A0A384L4Q0	Q7CJ39	A0A384L4Q0_YERPE	Yersinia pestis	632	316	unreviewed
A0A384KC21	Q7CL42	A0A384KC21_YERPE	Yersinia pestis	632	310	unreviewed
Q8CL29	Q8CL29	Q8CL29_YERPE	Yersinia pestis	632	348	unreviewed
Q0WF50	Q7CIE5	Q0WF50_YERPE	Yersinia pestis	632	401	unreviewed
A0A384KE37	Q7CKB5	A0A384KE37_YERPE	Yersinia pestis	632	547	unreviewed
A0A0H2W9G7	Q7CGT0	A0A0H2W9G7_YERPE	Yersinia pestis	632	392	unreviewed
Q8D1M8	Q8D1M8	Q8D1M8_YERPE	Yersinia pestis	632	700	unreviewed
A0A384LDM1	Q7CJ58	A0A384LDM1_YERPE	Yersinia pestis	632	496	unreviewed
A0A0H2W148	Q7CK66	A0A0H2W148_YERPE	Yersinia pestis	632	617	unreviewed
A0A384KVT4	Q7CJ25	A0A384KVT4_YERPE	Yersinia pestis	632	174	unreviewed
Q7CK92	Q7CK92	Q7CK92_YERPE	Yersinia pestis	632	297	unreviewed
Q8D065	Q8D065	Q8D065_YERPE	Yersinia pestis	632	879	unreviewed
A0A384LHP6	Q7CHR9	A0A384LHP6_YERPE	Yersinia pestis	632	753	unreviewed
A0A384KL81	Q7CIH0	A0A384KL81_YERPE	Yersinia pestis	632	644	unreviewed
Q8D048	Q8D048	Q8D048_YERPE	Yersinia pestis	632	263	unreviewed
A0A384LDU9	Q7CFV9	A0A384LDU9_YERPE	Yersinia pestis	632	436	unreviewed
Q8D0H0	Q8D0H0	Q8D0H0_YERPE	Yersinia pestis	632	434	unreviewed
Q0WFZ1	Q7CHX9	Q0WFZ1_YERPE	Yersinia pestis	632	428	unreviewed
Q0WHB8	Q7CHE6	Q0WHB8_YERPE	Yersinia pestis	632	524	unreviewed
A0A384KHE2	Q7CFW5	A0A384KHE2_YERPE	Yersinia pestis	632	313	unreviewed
Q7CL81	Q7CL81	Q7CL81_YERPE	Yersinia pestis	632	483	unreviewed
Q8D191	Q8D191	Q8D191_YERPE	Yersinia pestis	632	504	unreviewed
A0A384KRV5	Q7CL48	A0A384KRV5_YERPE	Yersinia pestis	632	352	unreviewed
Q8D0V8	Q8D0V8	Q8D0V8_YERPE	Yersinia pestis	632	810	unreviewed
A0A384L492	Q7CFR3	A0A384L492_YERPE	Yersinia pestis	632	397	unreviewed
Q7CG26	Q7CG26	Q7CG26_YERPE	Yersinia pestis	632	932	unreviewed
A0A384KC05	Q7CJ44	A0A384KC05_YERPE	Yersinia pestis	632	312	unreviewed
A0A384LGR5	Q7CL49	A0A384LGR5_YERPE	Yersinia pestis	632	498	unreviewed
A0A384KI85	Q7CHE8	A0A384KI85_YERPE	Yersinia pestis	632	377	unreviewed
Q0WAX9	Q7CL71	Q0WAX9_YERPE	Yersinia pestis	632	952	unreviewed
Q8D1A4	Q8D1A4	Q8D1A4_YERPE	Yersinia pestis	632	689	unreviewed
A0A0H2W3B9	Q7CHE5	A0A0H2W3B9_YERPE	Yersinia pestis	632	362	unreviewed
Q0WGC0	Q7CIZ2	Q0WGC0_YERPE	Yersinia pestis	632	236	unreviewed
Q0WF85	Q7CIC8	Q0WF85_YERPE	Yersinia pestis	632	634	unreviewed
A0A384KEN5	Q7CHS1	A0A384KEN5_YERPE	Yersinia pestis	632	297	unreviewed
A0A384LJQ9	Q7CJX6	A0A384LJQ9_YERPE	Yersinia pestis	632	793	unreviewed
Q0WEU1	Q7CIL3	Q0WEU1_YERPE	Yersinia pestis	632	389	unreviewed
A0A384LE44	Q7CKY7	A0A384LE44_YERPE	Yersinia pestis	632	249	unreviewed
A0A384KC66	Q7CHI8	A0A384KC66_YERPE	Yersinia pestis	632	447	unreviewed
Q0WJ26	Q7CGG5	Q0WJ26_YERPE	Yersinia pestis	632	582	unreviewed
A0A0H2W4Q1	Q7CHP0	A0A0H2W4Q1_YERPE	Yersinia pestis	632	587	unreviewed
A0A384LD81	Q7CHB4	A0A384LD81_YERPE	Yersinia pestis	632	497	unreviewed
Q0WIU1	Q7CGL3	Q0WIU1_YERPE	Yersinia pestis	632	348	unreviewed
A0A384LGU2	Q7CJI3	A0A384LGU2_YERPE	Yersinia pestis	632	194	unreviewed
A0A384KLJ4	Q7CIX7	A0A384KLJ4_YERPE	Yersinia pestis	632	254	unreviewed
A0A384LNE2	Q7CKH9	A0A384LNE2_YERPE	Yersinia pestis	632	1041	unreviewed
A0A384KDB1	Q7CL05	A0A384KDB1_YERPE	Yersinia pestis	632	339	unreviewed
A0A0H2W4U2	Q7CHY1	A0A0H2W4U2_YERPE	Yersinia pestis	632	232	unreviewed
Q0WIR6	Q7CGL8	Q0WIR6_YERPE	Yersinia pestis	632	741	unreviewed
Q8CZX0	Q8CZX0	Q8CZX0_YERPE	Yersinia pestis	632	278	unreviewed
A0A0H2W0Y3	Q7CL18	A0A0H2W0Y3_YERPE	Yersinia pestis	632	811	unreviewed
A0A0H2W2U3	Q7CJU3	A0A0H2W2U3_YERPE	Yersinia pestis	632	381	unreviewed
A0A0H2W529	Q7CIL5	A0A0H2W529_YERPE	Yersinia pestis	632	890	unreviewed
Q0WG18	Q7CHW3	Q0WG18_YERPE	Yersinia pestis	632	458	unreviewed
Q0WF92	Q7CIC4	Q0WF92_YERPE	Yersinia pestis	632	480	unreviewed
A0A0H2W9J4	Q7CL65	A0A0H2W9J4_YERPE	Yersinia pestis	632	347	unreviewed
Q0WJ85	Q7CGC7	Q0WJ85_YERPE	Yersinia pestis	632	496	unreviewed
Q0W9S5	Q7CFN0	Q0W9S5_YERPE	Yersinia pestis	632	223	unreviewed
Q0WH91	Q7CHG1	Q0WH91_YERPE	Yersinia pestis	632	254	unreviewed
A0A384L0P2	Q7CIK1	A0A384L0P2_YERPE	Yersinia pestis	632	310	unreviewed
A0A384L300	Q7CIU3	A0A384L300_YERPE	Yersinia pestis	632	184	unreviewed
A0A384L997	Q7CFZ6	A0A384L997_YERPE	Yersinia pestis	632	245	unreviewed
A0A384L6E2	Q7CGX7	A0A384L6E2_YERPE	Yersinia pestis	632	517	unreviewed
Q0WJ50	Q7CGF2	Q0WJ50_YERPE	Yersinia pestis	632	349	unreviewed
Q8D0I9	Q8D0I9	Q8D0I9_YERPE	Yersinia pestis	632	659	unreviewed
A0A384KU48	Q7CJF5	A0A384KU48_YERPE	Yersinia pestis	632	322	unreviewed
Q8CZY0	Q8CZY0	Q8CZY0_YERPE	Yersinia pestis	632	708	unreviewed
A0A384KKY7	Q7CLA9	A0A384KKY7_YERPE	Yersinia pestis	632	693	unreviewed
A0A384KXS0	Q7CGJ8	A0A384KXS0_YERPE	Yersinia pestis	632	256	unreviewed
A0A384KGR0	Q7CK53	A0A384KGR0_YERPE	Yersinia pestis	632	414	unreviewed
A0A384KT94	Q7CHR8	A0A384KT94_YERPE	Yersinia pestis	632	346	unreviewed
Q0WBJ5	Q7CKG1	Q0WBJ5_YERPE	Yersinia pestis	632	712	unreviewed
A0A384KR24	Q7CKB7	A0A384KR24_YERPE	Yersinia pestis	632	261	unreviewed
A0A384LE92	Q7CKB3	A0A384LE92_YERPE	Yersinia pestis	632	293	unreviewed
Q0WIR1	Q7CGM2	Q0WIR1_YERPE	Yersinia pestis	632	590	unreviewed
A0A384LLZ0	Q7CL06	A0A384LLZ0_YERPE	Yersinia pestis	632	496	unreviewed
A0A384KJ61	Q7CFZ2	A0A384KJ61_YERPE	Yersinia pestis	632	167	unreviewed
A0A0H2W8Y1	Q7CFR7	A0A0H2W8Y1_YERPE	Yersinia pestis	632	319	unreviewed
A0A0H2W4J4	Q7CHS5	A0A0H2W4J4_YERPE	Yersinia pestis	632	463	unreviewed
A0A384KSL1	Q7CGF4	A0A384KSL1_YERPE	Yersinia pestis	632	410	unreviewed
A0A384KQD2	Q7CJQ7	A0A384KQD2_YERPE	Yersinia pestis	632	318	unreviewed
Q0WC84	Q7CK49	Q0WC84_YERPE	Yersinia pestis	632	609	unreviewed
Q7CKR1	Q7CKR1	Q7CKR1_YERPE	Yersinia pestis	632	181	unreviewed
A0A384KPY8	Q7CG54	A0A384KPY8_YERPE	Yersinia pestis	632	361	unreviewed
Q7CKY2	Q7CKY2	Q7CKY2_YERPE	Yersinia pestis	632	280	unreviewed
Q0WII5	Q7CGV9	Q0WII5_YERPE	Yersinia pestis	632	686	unreviewed
A0A0H2W580	Q7CJP7	A0A0H2W580_YERPE	Yersinia pestis	632	540	unreviewed
Q0WDA9	Q7CJ99	Q0WDA9_YERPE	Yersinia pestis	632	418	unreviewed
A0A384KQ38	Q7CHH9	A0A384KQ38_YERPE	Yersinia pestis	632	573	unreviewed
Q0WHY6	Q7CH18	Q0WHY6_YERPE	Yersinia pestis	632	1171	unreviewed
Q0WFD2	Q7CIA4	Q0WFD2_YERPE	Yersinia pestis	632	269	unreviewed
Q8D087	Q8D087	Q8D087_YERPE	Yersinia pestis	632	726	unreviewed
Q8D1L5	Q8D1L5	Q8D1L5_YERPE	Yersinia pestis	632	514	unreviewed
Q0WA24	Q7CG16	Q0WA24_YERPE	Yersinia pestis	632	572	unreviewed
A0A384KU24	Q7CHS9	A0A384KU24_YERPE	Yersinia pestis	632	246	unreviewed
A0A384L4Z3	Q7CKV2	A0A384L4Z3_YERPE	Yersinia pestis	632	276	unreviewed
A0A384KK98	Q7CJ40	A0A384KK98_YERPE	Yersinia pestis	632	448	unreviewed
A0A384LKP6	Q7CI82	A0A384LKP6_YERPE	Yersinia pestis	632	154	unreviewed
Q8CZM8	Q8CZM8	Q8CZM8_YERPE	Yersinia pestis	632	878	unreviewed
A0A384L4C9	Q7CH92	A0A384L4C9_YERPE	Yersinia pestis	632	402	unreviewed
Q8CWI1	Q8CWI1	Q8CWI1_YERPE	Yersinia pestis	632	456	unreviewed
A0A384KV61	Q7CL03	A0A384KV61_YERPE	Yersinia pestis	632	548	unreviewed
Q8CL88	Q8CL88	Q8CL88_YERPE	Yersinia pestis	632	1045	unreviewed
Q8CZH7	Q8CZH7	Q8CZH7_YERPE	Yersinia pestis	632	484	unreviewed
A0A384L578	Q7CHJ5	A0A384L578_YERPE	Yersinia pestis	632	622	unreviewed
A0A384KWM5	Q7CIT1	A0A384KWM5_YERPE	Yersinia pestis	632	503	unreviewed
Q7CI85	Q7CI85	Q7CI85_YERPE	Yersinia pestis	632	720	unreviewed
A0A384KQZ3	Q7CG21	A0A384KQZ3_YERPE	Yersinia pestis	632	463	unreviewed
Q0WER9	Q7CIK3	Q0WER9_YERPE	Yersinia pestis	632	712	unreviewed
A0A384KFX2	Q7CL54	A0A384KFX2_YERPE	Yersinia pestis	632	448	unreviewed
A0A384LDC3	Q7CIF5	A0A384LDC3_YERPE	Yersinia pestis	632	236	unreviewed
Q7CH97	Q7CH97	Q7CH97_YERPE	Yersinia pestis	632	957	unreviewed
Q8D1P4	Q8D1P4	Q8D1P4_YERPE	Yersinia pestis	632	1063	unreviewed
A0A0H2W3M6	Q3V8F6	A0A0H2W3M6_YERPE	Yersinia pestis	632	432	unreviewed
A0A384LCL3	Q7CK43	A0A384LCL3_YERPE	Yersinia pestis	632	369	unreviewed
Q8D1D2	Q8D1D2	Q8D1D2_YERPE	Yersinia pestis	632	501	unreviewed
A0A384KD64	Q7CHG5	A0A384KD64_YERPE	Yersinia pestis	632	161	unreviewed
Q7CGR6	Q7CGR6	Q7CGR6_YERPE	Yersinia pestis	632	3110	unreviewed
A0A384LE02	Q7CG79	A0A384LE02_YERPE	Yersinia pestis	632	312	unreviewed
Q8CZU9	Q8CZU9	Q8CZU9_YERPE	Yersinia pestis	632	369	unreviewed
Q8D0S2	Q8D0S2	Q8D0S2_YERPE	Yersinia pestis	632	434	unreviewed
A0A0H2W7J2	Q7CJK2	A0A0H2W7J2_YERPE	Yersinia pestis	632	519	unreviewed
Q8CL50	Q8CL50	Q8CL50_YERPE	Yersinia pestis	632	337	unreviewed
Q8CZT4	Q8CZT4	Q8CZT4_YERPE	Yersinia pestis	632	1350	unreviewed
A0A0H2W3D6	Q7CHD2	A0A0H2W3D6_YERPE	Yersinia pestis	632	602	unreviewed
A0A384LJE2	Q7CGJ6	A0A384LJE2_YERPE	Yersinia pestis	632	368	unreviewed
Q8D1M9	Q8D1M9	Q8D1M9_YERPE	Yersinia pestis	632	1514	unreviewed
A0A384LD25	Q7CK75	A0A384LD25_YERPE	Yersinia pestis	632	465	unreviewed
Q8D0H5	Q8D0H5	Q8D0H5_YERPE	Yersinia pestis	632	846	unreviewed
A0A384KDB2	Q7CHW1	A0A384KDB2_YERPE	Yersinia pestis	632	454	unreviewed
Q8CZL7	Q8CZL7	Q8CZL7_YERPE	Yersinia pestis	632	341	unreviewed
A0A384L7I3	Q7CFX4	A0A384L7I3_YERPE	Yersinia pestis	632	698	unreviewed
A0A384LCY5	Q7CKD5	A0A384LCY5_YERPE	Yersinia pestis	632	264	unreviewed
A0A384LN40	Q7CIF0	A0A384LN40_YERPE	Yersinia pestis	632	306	unreviewed
A0A384LD89	Q7CHD8	A0A384LD89_YERPE	Yersinia pestis	632	414	unreviewed
Q0WA54	Q7CFZ9	Q0WA54_YERPE	Yersinia pestis	632	330	unreviewed
Q8D1Q5	Q8D1Q5	Q8D1Q5_YERPE	Yersinia pestis	632	57	unreviewed
A0A384LAU2	Q7CGT9	A0A384LAU2_YERPE	Yersinia pestis	632	577	unreviewed
A0A0H2W8G4	Q7CFN1	A0A0H2W8G4_YERPE	Yersinia pestis	632	284	unreviewed
A0A384LBM9	Q7CL89	A0A384LBM9_YERPE	Yersinia pestis	632	272	unreviewed
A0A384LKN7	Q7CJU0	A0A384LKN7_YERPE	Yersinia pestis	632	175	unreviewed
A0A384KE99	Q7CH54	A0A384KE99_YERPE	Yersinia pestis	632	142	unreviewed
A0A384KVQ8	Q7CL98	A0A384KVQ8_YERPE	Yersinia pestis	632	778	unreviewed
A0A384KV46	Q7CG05	A0A384KV46_YERPE	Yersinia pestis	632	680	unreviewed
A0A384K9D9	Q7CFV6	A0A384K9D9_YERPE	Yersinia pestis	632	437	unreviewed
A0A0H2W1W9	Q7CKH4	A0A0H2W1W9_YERPE	Yersinia pestis	632	294	unreviewed
Q7CHD7	Q7CHD7	Q7CHD7_YERPE	Yersinia pestis	632	490	unreviewed
A0A384L9B9	Q7CHM6	A0A384L9B9_YERPE	Yersinia pestis	632	262	unreviewed
Q0WE80	Q7CIU9	Q0WE80_YERPE	Yersinia pestis	632	291	unreviewed
Q8D0C5	Q8D0C5	Q8D0C5_YERPE	Yersinia pestis	632	189	unreviewed
A0A384LM30	Q7CIS4	A0A384LM30_YERPE	Yersinia pestis	632	400	unreviewed
Q8D1S0	Q8D1S0	Q8D1S0_YERPE	Yersinia pestis	632	478	unreviewed
Q0WIJ9	Q7CGX1	Q0WIJ9_YERPE	Yersinia pestis	632	388	unreviewed
Q8D0I3	Q8D0I3	Q8D0I3_YERPE	Yersinia pestis	632	423	unreviewed
